1,상품명,기간,기본금리
2,e-그린세이브예금,1개월,3
3,e-그린세이브예금,2개월,3
4,e-그린세이브예금,3개월,3.6
5,e-그린세이브예금,4개월,3.6
6,e-그린세이브예금,5개월,3.6
7,e-그린세이브예금,6개월,3.7
8,e-그린세이브예금,7개월,3.7
9,e-그린세이브예금,8개월,3.7
10,e-그린세이브예금,9개월,3.7
11,e-그린세이브예금,10개월,3.8
12,e-그린세이브예금,11개월,3.8
13,e-그린세이브예금,12개월,3.9
14,우리 첫거래우대 정기예금,1개월,3
15,우리 첫거래우대 정기예금,2개월,3
16,우리 첫거래우대 정기예금,3개월,3
17,우리 첫거래우대 정기예금,4개월,3
18,우리 첫거래우대 정기예금,5개월,3
19,우리 첫거래우대 정기예금,6개월,3
20,우리 첫거래우대 정기예금,7개월,3
21,우리 첫거래우대 정기예금,8개월,3
22,우리 첫거래우대 정기예금,9개월,3
23,우리 첫거래우대 정기예금,10개월,3
24,우리 첫거래우대 정기예금,11개월,3
25,우리 첫거래우대 정기예금,12개월,3.1
26,올해는예금[시즌3],6개월,2.7
27,올해는예금[시즌3],12개월,3.05
28,JB 1·2·3 정기예금,12개월,3.8
29,Sh첫만남우대예금,12개월,2.97
30,더(The) 특판 정기예금,1개월,2.7
31,더(The) 특판 정기예금,3개월,3.35
32,더(The) 특판 정기예금,6개월,3.45
33,더(The) 특판 정기예금,12개월,3.6
34,IBK D-Day통장(단기중금채),1개월,3.66
35,IBK D-Day통장(단기중금채),3개월,3.8
36,IBK D-Day통장(단기중금채),6개월,3.81
37,IBK D-Day통장(단기중금채),9개월,3.96
38,IBK D-Day통장(단기중금채),12개월,4
39,헤이(Hey)정기예금,3개월,3.6
40,헤이(Hey)정기예금,4개월,3.6
41,헤이(Hey)정기예금,5개월,3.6
42,헤이(Hey)정기예금,6개월,3.8
43,헤이(Hey)정기예금,7개월,3.8
44,헤이(Hey)정기예금,8개월,3.8
45,헤이(Hey)정기예금,9개월,3.8
46,헤이(Hey)정기예금,10개월,3.8
47,헤이(Hey)정기예금,11개월,3.8
48,헤이(Hey)정기예금,12개월,3.95
49,IBK첫만남통장(중금채),12개월,3.95
50,IBK W통장(거치식),12개월,3.75
51,IBK늘푸른하늘통장(거치식),12개월,3.7
52,BNK코리보연동정기예금,12개월,3.67
53,SC제일 친환경비움예금,12개월,3.78
54,NH올원e예금,1개월,3.1
55,NH올원e예금,2개월,3.1
56,NH올원e예금,3개월,3.4
57,NH올원e예금,4개월,3.4
58,NH올원e예금,5개월,3.4
59,NH올원e예금,6개월,3.5
60,NH올원e예금,7개월,3.5
61,NH올원e예금,8개월,3.5
62,NH올원e예금,9개월,3.5
63,NH올원e예금,10개월,3.5
64,NH올원e예금,11개월,3.5
65,NH올원e예금,12개월,3.75
66,DGB주거래우대예금(첫만남고객형),6개월,2.46
67,DGB주거래우대예금(첫만남고객형),7개월,2.46
68,DGB주거래우대예금(첫만남고객형),8개월,2.46
69,DGB주거래우대예금(첫만남고객형),9개월,2.46
70,DGB주거래우대예금(첫만남고객형),10개월,2.46
71,DGB주거래우대예금(첫만남고객형),11개월,2.46
72,DGB주거래우대예금(첫만남고객형),12개월,3.2
73,1석7조통장(중금채),12개월,3.85
74,IBK변동금리예금&중금채(중금채),12개월,3.77
75,행운박스예금,1개월,1.9
76,행운박스예금,3개월,3.1
77,행운박스예금,6개월,3.1
78,행운박스예금,12개월,3.3
79,JB다이렉트예금,3개월,3.7
80,JB다이렉트예금,6개월,3.75
81,JB다이렉트예금,12개월,3.8
82,BNK주거래우대정기예금,6개월,3.15
83,BNK주거래우대정기예금,12개월,3.15
84,NH고향사랑기부예금,12개월,3.1
85,굿스타트예금,12개월,3.3
86,Tops CD연동 정기예금,6개월,3.7
87,Tops CD연동 정기예금,12개월,3.7
88,국민수퍼정기예금(CD금리연동형),6개월,3.68
89,국민수퍼정기예금(CD금리연동형),12개월,3.68
90,IBK평생한가족통장(중금채),12개월,3.55
91,IM스마트예금,1개월,2.2
92,IM스마트예금,2개월,2.2
93,IM스마트예금,3개월,2.4
94,IM스마트예금,4개월,2.4
95,IM스마트예금,5개월,2.4
96,IM스마트예금,6개월,2.8
97,IM스마트예금,7개월,2.8
98,IM스마트예금,8개월,2.8
99,IM스마트예금,9개월,2.8
100,IM스마트예금,10개월,2.8
101,IM스마트예금,11개월,2.8
102,IM스마트예금,12개월,3.75
103,DGB함께예금,12개월,3.6
104,WON플러스 예금,1개월,3
105,WON플러스 예금,2개월,3
106,WON플러스 예금,3개월,3.6
107,WON플러스 예금,4개월,3.6
108,WON플러스 예금,5개월,3.6
109,WON플러스 예금,6개월,3.65
110,WON플러스 예금,7개월,3.65
111,WON플러스 예금,8개월,3.65
112,WON플러스 예금,9개월,3.65
113,WON플러스 예금,10개월,3.65
114,WON플러스 예금,11개월,3.65
115,WON플러스 예금,12개월,3.68
116,IBK변동금리예금&중금채(실세금리정기예금)[만기지급식],3개월,3.47
117,IBK변동금리예금&중금채(실세금리정기예금)[만기지급식],6개월,3.52
118,IBK변동금리예금&중금채(실세금리정기예금)[만기지급식],12개월,3.67
119,IBK변동금리예금&중금채(실세금리정기예금)[이자지급식],3개월,3.47
120,IBK변동금리예금&중금채(실세금리정기예금)[이자지급식],6개월,3.52
121,IBK변동금리예금&중금채(실세금리정기예금)[이자지급식],12개월,3.67
122,직장인우대예금,6개월,2.42
123,직장인우대예금,7개월,2.42
124,직장인우대예금,8개월,2.42
125,직장인우대예금,9개월,2.42
126,직장인우대예금,10개월,2.42
127,직장인우대예금,11개월,2.42
128,직장인우대예금,12개월,2.42
129,하나의 정기예금,1개월,2.9
130,하나의 정기예금,2개월,2.9
131,하나의 정기예금,3개월,3.45
132,하나의 정기예금,4개월,3.45
133,하나의 정기예금,5개월,3.45
134,하나의 정기예금,6개월,3.55
135,하나의 정기예금,7개월,3.55
136,하나의 정기예금,8개월,3.55
137,하나의 정기예금,9개월,3.55
138,하나의 정기예금,10개월,3.55
139,하나의 정기예금,11개월,3.55
140,하나의 정기예금,12개월,3.65
141,KB Star 정기예금,1개월,2.85
142,KB Star 정기예금,2개월,2.85
143,KB Star 정기예금,3개월,3.5
144,KB Star 정기예금,4개월,3.5
145,KB Star 정기예금,5개월,3.5
146,KB Star 정기예금,6개월,3.6
147,KB Star 정기예금,7개월,3.6
148,KB Star 정기예금,8개월,3.6
149,KB Star 정기예금,9개월,3.6
150,KB Star 정기예금,10개월,3.6
151,KB Star 정기예금,11개월,3.6
152,KB Star 정기예금,12개월,3.65
153,LIVE정기예금,1개월,2.27
154,LIVE정기예금,2개월,2.27
155,LIVE정기예금,3개월,2.47
156,LIVE정기예금,4개월,2.47
157,LIVE정기예금,5개월,2.47
158,LIVE정기예금,6개월,2.57
159,LIVE정기예금,7개월,2.57
160,LIVE정기예금,8개월,2.57
161,LIVE정기예금,9개월,2.57
162,LIVE정기예금,10개월,2.57
163,LIVE정기예금,11개월,2.57
164,LIVE정기예금,12개월,2.75
165,IBK평생한가족통장(정기예금),12개월,3.45
166,DGB주거래우대예금(단골고객형),6개월,2.46
167,DGB주거래우대예금(단골고객형),7개월,2.46
168,DGB주거래우대예금(단골고객형),8개월,2.46
169,DGB주거래우대예금(단골고객형),9개월,2.46
170,DGB주거래우대예금(단골고객형),10개월,2.46
171,DGB주거래우대예금(단골고객형),11개월,2.46
172,DGB주거래우대예금(단골고객형),12개월,3.2
173,JB Smart-App 예금,12개월,2.95
174,쏠편한 정기예금,1개월,2.95
175,쏠편한 정기예금,2개월,2.95
176,쏠편한 정기예금,3개월,3.45
177,쏠편한 정기예금,4개월,3.45
