상품명,우대조건,우대조건_rate
e-그린세이브예금,첫거래,0.1
e-그린세이브예금,금리우대쿠폰,0
우리 첫거래우대 정기예금,첫거래,0.4
우리 첫거래우대 정기예금,오픈뱅킹,0.4
올해는예금[시즌3],첫거래,0.2
올해는예금[시즌3],오픈뱅킹,0.1
JB 1·2·3 정기예금,첫거래,0.3
JB 1·2·3 정기예금,재예치,0.1
JB 1·2·3 정기예금,가입금액조건,0.1
Sh첫만남우대예금,첫거래,1
Sh첫만남우대예금,동의등록,0.05
Sh첫만남우대예금,참여활동,0.8
더(The) 특판 정기예금,첫거래,0.3
더(The) 특판 정기예금,동의등록,0.1
IBK W통장(거치식),이체,0.2
IBK늘푸른하늘통장(거치식),참여활동,0.25
BNK코리보연동정기예금,첫거래,0.05
BNK코리보연동정기예금,카드,0.05
BNK코리보연동정기예금,이체,0.05
BNK코리보연동정기예금,오픈뱅킹,0.05
BNK코리보연동정기예금,가입금액조건,0.05
BNK코리보연동정기예금,공과금,0.05
SC제일 친환경비움예금,금리우대쿠폰,0
NH올원e예금,금리우대쿠폰,0
DGB주거래우대예금(첫만남고객형),첫거래,0.2
DGB주거래우대예금(첫만남고객형),비대면가입,0.05
DGB주거래우대예금(첫만남고객형),카드,0.2
DGB주거래우대예금(첫만남고객형),동의등록,0.2
행운박스예금,첫거래,0.5
행운박스예금,금리우대쿠폰,0
BNK주거래우대정기예금,첫거래,0.1
BNK주거래우대정기예금,이체,0.2
NH고향사랑기부예금,첫거래,0.1
NH고향사랑기부예금,참여활동,0.5
굿스타트예금,첫거래,0.4
굿스타트예금,동의등록,0.1
굿스타트예금,금리우대쿠폰,0
국민수퍼정기예금(CD금리연동형),첫거래,0
IBK평생한가족통장(중금채),첫거래,0.05
IBK평생한가족통장(중금채),이체,0.15
IBK평생한가족통장(중금채),재예치,0.05
IM스마트예금,비대면가입,0.05
IM스마트예금,카드,0.2
DGB함께예금,비대면가입,0.05
DGB함께예금,오픈뱅킹,0.1
DGB함께예금,당행상품,0.1
DGB함께예금,적금,0.1
DGB함께예금,평균잔액,0.1
직장인우대예금,비대면가입,0.05
직장인우대예금,카드,0.1
직장인우대예금,이체,0.2
직장인우대예금,당행상품,0.1
직장인우대예금,평균잔액,0.1
하나의 정기예금,첫거래,0
KB Star 정기예금,금리우대쿠폰,0
IBK평생한가족통장(정기예금),이체,0.15
DGB주거래우대예금(단골고객형),카드,0.1
DGB주거래우대예금(단골고객형),이체,0.1
DGB주거래우대예금(단골고객형),당행상품,0.1
DGB주거래우대예금(단골고객형),평균잔액,0.1
DGB주거래우대예금(단골고객형),공과금,0.1
JB Smart-App 예금,오픈뱅킹,0.3
JB Smart-App 예금,동의등록,0.1
JB Smart-App 예금,참여활동,0.1
"안녕,독도야예금",당행상품,0.2
"안녕,독도야예금",적금,0.1
"안녕,독도야예금",참여활동,0.1
J 정기예금,비대면가입,0.3
J 정기예금,참여활동,0.2
Sh해양플라스틱Zero!예금,카드,0.01
Sh해양플라스틱Zero!예금,동의등록,0.1
Sh해양플라스틱Zero!예금,당행상품,0.1
Sh해양플라스틱Zero!예금,참여활동,0.15
NH All100플랜 연금예금,당행상품,0.2
NH All100플랜 연금예금,적금,0.2
NH All100플랜 연금예금,가입금액조건,0.1
스마트모아Dream정기예금,가입금액조건,0.1
스마트모아Dream정기예금,금리우대쿠폰,0
NH왈츠회전예금II,이체,0.1
NH왈츠회전예금II,재예치,0.1
i-ONE 놀이터예금,참여활동,0.1
BNK더조은정기예금,첫거래,0.2
BNK더조은정기예금,오픈뱅킹,0.1
BNK더조은정기예금,재예치,0.05
BNK더조은정기예금,가입금액조건,0.2
JB 주거래 예금,첫거래,0.1
JB 주거래 예금,비대면가입,0.2
JB 주거래 예금,카드,0.1
JB 주거래 예금,당행상품,0.1
JB 주거래 예금,공과금,0.1
